epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2726.18,1.46793,1.0234,1.35359,0.81418,0.61441,0.68586,0.40282,1.45705,0.9305,1.4401,0.007921,0.007921,0.007921
44,2778.75,1.46401,1.02593,1.35505,0.81714,0.62069,0.68733,0.40129,1.47304,0.9284,1.4487,0.0078715,0.0078715,0.0078715
45,2817.49,1.45809,1.0213,1.35567,0.81973,0.62108,0.68924,0.40398,1.44042,0.92052,1.43103,0.007822,0.007822,0.007822
46,2855.02,1.44964,1.00977,1.34821,0.84157,0.62657,0.69887,0.41127,1.43285,0.91466,1.41884,0.0077725,0.0077725,0.0077725
47,2894.31,1.44242,1.01816,1.34425,0.83358,0.63264,0.6988,0.40832,1.4574,0.91351,1.43595,0.007723,0.007723,0.007723
48,2933.46,1.45034,1.01533,1.34905,0.84585,0.62707,0.70259,0.41348,1.42649,0.90432,1.42316,0.0076735,0.0076735,0.0076735
49,2971.8,1.43452,1.00084,1.34632,0.84263,0.62459,0.70456,0.41424,1.43691,0.9011,1.42351,0.007624,0.007624,0.007624
50,3070.94,1.43944,1.0034,1.34265,0.84322,0.62888,0.70426,0.41856,1.42754,0.89259,1.42161,0.0075745,0.0075745,0.0075745
51,3194.6,1.42724,0.99508,1.34173,0.83183,0.63559,0.70485,0.41679,1.42181,0.88474,1.41667,0.007525,0.007525,0.007525
52,3307.88,1.43828,0.98381,1.34633,0.82291,0.64449,0.70471,0.41924,1.42148,0.88572,1.41821,0.0074755,0.0074755,0.0074755
53,3355.78,1.42932,0.9809,1.33849,0.83624,0.64158,0.7114,0.42492,1.41154,0.86716,1.41401,0.007426,0.007426,0.007426
54,3398.34,1.41974,0.97365,1.34097,0.83489,0.63814,0.70963,0.42518,1.4121,0.87511,1.40947,0.0073765,0.0073765,0.0073765
55,3441.33,1.40804,0.96822,1.33051,0.8546,0.63394,0.71435,0.43015,1.40613,0.86171,1.40059,0.007327,0.007327,0.007327
56,3485.04,1.41799,0.97432,1.3291,0.82816,0.64953,0.71168,0.42517,1.40871,0.86655,1.40922,0.0072775,0.0072775,0.0072775
57,3528.75,1.40233,0.95942,1.32451,0.85489,0.63449,0.71525,0.43383,1.39666,0.85521,1.3983,0.007228,0.007228,0.007228
58,3571.78,1.40708,0.95861,1.32474,0.8536,0.63795,0.71544,0.4318,1.38865,0.84937,1.39597,0.0071785,0.0071785,0.0071785
59,3622.32,1.40551,0.96178,1.32499,0.8354,0.64354,0.71636,0.43692,1.37924,0.84712,1.39084,0.007129,0.007129,0.007129
60,3674.46,1.39937,0.95278,1.32725,0.84754,0.64631,0.72059,0.43928,1.37857,0.83803,1.38855,0.0070795,0.0070795,0.0070795
61,3726.44,1.38889,0.94467,1.31948,0.86275,0.63152,0.71643,0.43786,1.37268,0.84271,1.38214,0.00703,0.00703,0.00703
62,3777.05,1.3918,0.93845,1.31303,0.85618,0.64299,0.72222,0.43744,1.37685,0.84011,1.38165,0.0069805,0.0069805,0.0069805
63,3826.88,1.37299,0.93145,1.30806,0.85738,0.65044,0.72523,0.43824,1.37296,0.83458,1.38851,0.006931,0.006931,0.006931
64,3878,1.3806,0.93545,1.31182,0.84666,0.65152,0.72416,0.4438,1.36687,0.82678,1.3805,0.0068815,0.0068815,0.0068815
65,3928.65,1.38049,0.92511,1.31419,0.8491,0.64986,0.72531,0.44275,1.36755,0.82227,1.38097,0.006832,0.006832,0.006832
66,3978.5,1.36471,0.91489,1.29887,0.85729,0.65241,0.72648,0.44713,1.35424,0.81456,1.37354,0.0067825,0.0067825,0.0067825
67,4028.78,1.36956,0.93016,1.30535,0.85263,0.6631,0.72987,0.44723,1.35343,0.81337,1.37435,0.006733,0.006733,0.006733
68,4079.94,1.36296,0.91502,1.30387,0.85151,0.66302,0.73121,0.4468,1.36274,0.80675,1.38229,0.0066835,0.0066835,0.0066835
69,4131.96,1.36609,0.9125,1.30208,0.8549,0.6609,0.73153,0.44869,1.3577,0.80495,1.37606,0.006634,0.006634,0.006634
70,4183.33,1.34072,0.89356,1.28863,0.87109,0.65324,0.73459,0.45133,1.35228,0.8075,1.3705,0.0065845,0.0065845,0.0065845
71,4235.02,1.34186,0.90594,1.29661,0.85606,0.66026,0.73284,0.45332,1.34433,0.79634,1.36505,0.006535,0.006535,0.006535
72,4285.21,1.34613,0.90017,1.28904,0.86325,0.6622,0.73557,0.45389,1.34411,0.79298,1.36522,0.0064855,0.0064855,0.0064855
73,4335.43,1.34346,0.89595,1.2894,0.85862,0.66186,0.7354,0.45641,1.34506,0.78735,1.36531,0.006436,0.006436,0.006436
74,4385.85,1.34697,0.89136,1.28762,0.86257,0.65984,0.73274,0.45372,1.33925,0.794,1.35964,0.0063865,0.0063865,0.0063865
75,4436.1,1.3437,0.90225,1.29027,0.86556,0.65697,0.7372,0.4573,1.34048,0.78304,1.35957,0.006337,0.006337,0.006337
76,4487.71,1.33285,0.89372,1.27775,0.85574,0.65979,0.73728,0.45666,1.34103,0.78267,1.35977,0.0062875,0.0062875,0.0062875
77,4537.18,1.33352,0.87958,1.28119,0.86414,0.66386,0.74066,0.45758,1.33708,0.77736,1.35805,0.006238,0.006238,0.006238
78,4588.5,1.32554,0.87989,1.27659,0.85805,0.66983,0.74337,0.46004,1.32875,0.7722,1.35599,0.0061885,0.0061885,0.0061885
79,4639.17,1.32855,0.87534,1.27695,0.86307,0.66794,0.744,0.46136,1.33228,0.77324,1.35695,0.006139,0.006139,0.006139
80,4689.33,1.31802,0.86807,1.27466,0.8551,0.67689,0.74394,0.4648,1.32526,0.76675,1.35364,0.0060895,0.0060895,0.0060895
81,4739.94,1.31631,0.87474,1.27279,0.86459,0.66738,0.74233,0.46606,1.31817,0.76399,1.34797,0.00604,0.00604,0.00604
82,4790.11,1.31776,0.86668,1.271,0.87852,0.66332,0.74536,0.46734,1.31196,0.76044,1.34689,0.0059905,0.0059905,0.0059905
83,4841.41,1.30937,0.85957,1.27437,0.859,0.67465,0.74658,0.46909,1.31072,0.75509,1.34589,0.005941,0.005941,0.005941
84,4894.35,1.30871,0.85493,1.27425,0.86667,0.6698,0.74525,0.47152,1.30391,0.74788,1.34081,0.0058915,0.0058915,0.0058915
85,4947.47,1.32179,0.86765,1.27609,0.88684,0.66366,0.74652,0.47018,1.30671,0.7488,1.34235,0.005842,0.005842,0.005842
86,5000.71,1.30177,0.85334,1.26524,0.86591,0.67071,0.74767,0.46942,1.30775,0.74729,1.34067,0.0057925,0.0057925,0.0057925
87,5053.33,1.29176,0.84623,1.25991,0.87131,0.67044,0.74796,0.47265,1.30246,0.74112,1.33827,0.005743,0.005743,0.005743
88,5106.12,1.29357,0.84892,1.26246,0.86775,0.67891,0.75101,0.4749,1.301,0.74153,1.33695,0.0056935,0.0056935,0.0056935
89,5156.09,1.28259,0.83883,1.25468,0.85595,0.68006,0.74884,0.47479,1.30087,0.74498,1.33918,0.005644,0.005644,0.005644
90,5206.57,1.27234,0.83193,1.25262,0.8693,0.67796,0.74832,0.47334,1.29706,0.74566,1.33512,0.0055945,0.0055945,0.0055945
91,5257.44,1.29165,0.8431,1.25648,0.86906,0.67406,0.7485,0.47582,1.29428,0.74221,1.33326,0.005545,0.005545,0.005545
92,5307.61,1.28589,0.8415,1.25129,0.87945,0.67098,0.75113,0.47611,1.29873,0.73793,1.33627,0.0054955,0.0054955,0.0054955
93,5357.98,1.27894,0.8303,1.25045,0.86498,0.68346,0.75287,0.47641,1.2952,0.73538,1.32973,0.005446,0.005446,0.005446
94,5408.76,1.27665,0.82565,1.2508,0.86898,0.67945,0.75456,0.47674,1.29505,0.73224,1.32999,0.0053965,0.0053965,0.0053965
95,5460.48,1.27299,0.82522,1.25484,0.87901,0.67801,0.7544,0.48026,1.28977,0.72999,1.32792,0.005347,0.005347,0.005347
96,5507.31,1.27197,0.82338,1.24701,0.88262,0.68165,0.75713,0.48079,1.28612,0.72665,1.32574,0.0052975,0.0052975,0.0052975
97,5552.49,1.26891,0.81979,1.25075,0.86233,0.68377,0.7564,0.48104,1.28142,0.72505,1.3224,0.005248,0.005248,0.005248
98,5597.34,1.26387,0.81732,1.24922,0.8642,0.68838,0.75907,0.48143,1.2786,0.72369,1.3221,0.0051985,0.0051985,0.0051985
99,5640.86,1.26023,0.81073,1.24655,0.85833,0.69307,0.76016,0.48244,1.27629,0.7192,1.32027,0.005149,0.005149,0.005149
100,5683.23,1.25898,0.81138,1.24355,0.86305,0.69093,0.75892,0.48533,1.27267,0.71655,1.31713,0.0050995,0.0050995,0.0050995
101,5725.49,1.25223,0.80797,1.23509,0.86165,0.69113,0.75944,0.48631,1.27264,0.7146,1.31829,0.00505,0.00505,0.00505
